Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2013-01;Transilien;P;Paris Est;85.8;6.0
2013-01;RER;D;RER D;77.6;3.5
2013-02;RER;B;RER B;80.3;4.1
2013-01;RER;E;RER E;93.3;13.9
2013-02;Transilien;H;Paris Nord Ouest;92.7;12.7
2013-01;Transilien;K;Paris Nord Crépy;75.2;3.0
2013-02;Transilien;N;Paris Montparnasse;93.3;13.9
2013-01;Transilien;L;Paris Saint-Lazare Sud;84.0;5.3
2013-02;Transilien;R;Paris Sud Est;88.2;7.5
2013-02;Transilien;L;Paris Saint-Lazare Sud;82.1;4.6
2013-03;RER;D;RER D;80.0;4.0
2013-03;RER;C;RER C;87.6;7.1
2013-03;RER;E;RER E;92.9;13.1
2013-03;Transilien;U;La Verrière - La Défense;89.2;8.3
2013-03;Transilien;J;Paris Saint-Lazare Nord;84.2;5.3
2013-04;RER;B;RER B;86.4;6.4
2013-03;Transilien;L;Paris Saint-Lazare Sud;81.8;4.5
2013-04;RER;D;RER D;82.9;4.8
2013-03;Transilien;N;Paris Montparnasse;89.1;8.2
2013-04;Transilien;L;Paris Saint-Lazare Sud;84.4;5.4
2013-04;Transilien;H;Paris Nord Ouest;94.6;17.5
2013-04;Transilien;N;Paris Montparnasse;90.2;9.2
2013-05;RER;A;RER A;86.4;6.4
2013-05;Transilien;P;Paris Est;90.4;9.4
2013-05;Transilien;K;Paris Nord Crépy;81.3;4.3
2013-06;RER;D;RER D;85.1;5.7
2013-01;RER;B;RER B;80.1;4.0
2013-05;Transilien;L;Paris Saint-Lazare Sud;90.6;9.6
2013-06;Transilien;J;Paris Saint-Lazare Nord;83.5;5.1
2013-02;RER;E;RER E;94.7;17.9
2013-05;Transilien;U;La Verrière - La Défense;95.3;20.3
2013-06;Transilien;L;Paris Saint-Lazare Sud;82.3;4.6
2013-02;Transilien;J;Paris Saint-Lazare Nord;88.1;7.4
2013-06;RER;B;RER B;82.2;4.6
2013-06;Transilien;P;Paris Est;89.4;8.4
2013-02;Transilien;K;Paris Nord Crépy;75.2;3.0
2013-06;Transilien;N;Paris Montparnasse;93.9;15.4
2013-07;RER;D;RER D;85.2;5.8
2013-03;Transilien;H;Paris Nord Ouest;92.3;12.0
2013-06;Transilien;R;Paris Sud Est;89.5;8.5
2013-07;Transilien;K;Paris Nord Crépy;85.1;5.7
2013-04;RER;A;RER A;83.3;5.0
2013-06;Transilien;U;La Verrière - La Défense;93.2;13.7
2013-07;Transilien;P;Paris Est;90.1;9.1
2013-04;Transilien;J;Paris Saint-Lazare Nord;85.0;5.7
2013-08;RER;D;RER D;90.4;9.4
2013-08;RER;A;RER A;88.9;8.0
2013-04;Transilien;K;Paris Nord Crépy;82.0;4.6
2013-08;Transilien;L;Paris Saint-Lazare Sud;89.9;8.9
2013-09;Transilien;K;Paris Nord Crépy;86.0;6.1
2013-04;Transilien;R;Paris Sud Est;89.3;8.3
2013-08;Transilien;R;Paris Sud Est;92.0;11.5
2013-09;Transilien;L;Paris Saint-Lazare Sud;84.9;5.6
2013-04;Transilien;U;La Verrière - La Défense;90.1;9.1
2013-09;RER;D;RER D;83.1;4.9
2013-09;Transilien;P;Paris Est;88.0;7.3
2013-05;Transilien;J;Paris Saint-Lazare Nord;91.5;10.8
2013-09;RER;E;RER E;96.8;30.3
2013-10;RER;B;RER B;80.7;4.2
2013-06;RER;E;RER E;93.9;15.4
2013-09;Transilien;H;Paris Nord Ouest;95.4;20.7
2013-10;RER;D;RER D;79.6;3.9
2013-06;Transilien;H;Paris Nord Ouest;94.1;15.9
2013-09;Transilien;J;Paris Saint-Lazare Nord;88.8;7.9
2013-10;Transilien;H;Paris Nord Ouest;94.2;16.2
2013-07;RER;B;RER B;84.1;5.3
2013-09;Transilien;R;Paris Sud Est;89.6;8.6
2013-10;Transilien;L;Paris Saint-Lazare Sud;82.0;4.6
2013-07;Transilien;J;Paris Saint-Lazare Nord;87.0;6.7
2013-10;RER;A;RER A;83.1;4.9
2013-10;Transilien;N;Paris Montparnasse;92.6;12.5
2013-07;Transilien;N;Paris Montparnasse;93.2;13.7
2013-10;Transilien;R;Paris Sud Est;89.4;8.4
2013-11;Transilien;U;La Verrière - La Défense;88.4;7.6
2013-08;RER;C;RER C;93.4;14.2
2013-11;RER;D;RER D;76.9;3.3
2013-12;RER;A;RER A;81.2;4.3
2013-08;Transilien;J;Paris Saint-Lazare Nord;89.2;8.3
2013-12;Transilien;H;Paris Nord Ouest;94.7;17.9
2013-12;Transilien;J;Paris Saint-Lazare Nord;84.4;5.4
2013-09;RER;A;RER A;83.3;5.0
2014-01;Transilien;P;Paris Est;91.0;10.1
2013-12;Transilien;N;Paris Montparnasse;92.8;12.9
2013-10;RER;C;RER C;85.6;5.9
2014-02;RER;B;RER B;88.9;8.0
2014-01;RER;A;RER A;81.1;4.3
2013-10;Transilien;J;Paris Saint-Lazare Nord;83.2;5.0
2014-02;Transilien;K;Paris Nord Crépy;84.4;5.4
2014-01;RER;B;RER B;81.3;4.3
2013-10;Transilien;U;La Verrière - La Défense;91.6;10.9
2014-02;Transilien;L;Paris Saint-Lazare Sud;83.1;4.9
2014-01;RER;D;RER D;86.0;6.1
2013-11;RER;C;RER C;85.5;5.9
2014-03;RER;A;RER A;83.3;5.0
2014-01;Transilien;J;Paris Saint-Lazare Nord;82.0;4.6
2013-11;RER;E;RER E;92.0;11.5
2014-03;RER;B;RER B;87.9;7.3
2014-02;Transilien;H;Paris Nord Ouest;96.1;24.6
2013-11;Transilien;J;Paris Saint-Lazare Nord;80.7;4.2
2014-03;RER;C;RER C;91.5;10.8
2014-02;Transilien;P;Paris Est;90.4;9.4
2013-11;Transilien;N;Paris Montparnasse;88.1;7.4
2014-03;Transilien;L;Paris Saint-Lazare Sud;88.2;7.5
2014-02;Transilien;R;Paris Sud Est;85.3;5.8
2013-11;Transilien;R;Paris Sud Est;82.5;4.7
2014-04;RER;C;RER C;91.6;10.9
2014-02;Transilien;U;La Verrière - La Défense;92.2;11.8
2013-12;RER;B;RER B;82.4;4.7
