service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
IDFM:TN:1,0,0,0,1,0,0,0,20230119,20230119
IDFM:TN:10,0,0,0,0,0,1,1,20230121,20230212
IDFM:TN:168,0,1,1,1,1,1,0,20230120,20230216
IDFM:TN:173,0,1,1,1,1,1,0,20230120,20230216
IDFM:TN:174,1,1,1,1,1,1,1,20230120,20230204
IDFM:TN:1000,0,0,0,0,0,1,1,20230128,20230205
IDFM:TN:1008,0,0,0,0,0,0,1,20230129,20230205
IDFM:TN:1009,0,0,0,0,0,1,1,20230211,20230212
IDFM:TN:1041,0,0,0,0,0,0,1,20230212,20230212
IDFM:TN:1086,0,0,0,0,0,0,1,20230122,20230212
IDFM:TN:1102,0,0,0,0,0,1,1,20230121,20230205
IDFM:TN:1130,0,0,0,0,0,1,0,20230121,20230204
IDFM:TN:1134,0,0,0,0,0,0,1,20230122,20230205
IDFM:TN:1225,1,1,1,1,1,0,0,20230120,20230216
IDFM:TN:1262,0,0,0,0,0,0,1,20230129,20230129
IDFM:TN:1396,0,1,1,1,1,1,0,20230120,20230211
IDFM:TN:1492,0,0,0,0,0,0,1,20230122,20230212
IDFM:TN:1596,0,0,0,0,0,0,1,20230122,20230129
IDFM:TN:1689,0,0,0,0,0,1,1,20230204,20230212
IDFM:TN:1710,0,0,0,0,0,0,1,20230205,20230212
IDFM:TN:1834,0,0,0,0,0,1,0,20230204,20230211
IDFM:TN:2679,1,1,1,1,1,0,0,20230206,20230210
IDFM:TN:2680,0,0,1,0,0,0,0,20230208,20230215
IDFM:TN:2848,0,0,1,0,0,0,0,20230208,20230208
IDFM:TN:2943,1,0,0,0,0,0,1,20230122,20230213
IDFM:TN:3048,1,1,1,1,0,0,0,20230206,20230209
IDFM:TN:3049,0,0,0,0,1,0,0,20230210,20230210
IDFM:TN:3054,0,1,1,0,0,0,0,20230207,20230215
IDFM:TN:3056,0,1,1,0,0,0,0,20230207,20230208
IDFM:TN:3059,0,1,0,0,0,0,0,20230207,20230207
IDFM:TN:3067,0,1,0,0,0,0,0,20230214,20230214
IDFM:TN:3070,0,0,1,0,0,0,0,20230215,20230215
IDFM:TN:3231,1,0,0,0,0,0,0,20230206,20230206
IDFM:TN:3232,0,1,1,1,1,0,0,20230207,20230210
IDFM:TN:3504,1,0,0,0,0,0,1,20230122,20230213
IDFM:TN:3505,0,0,0,0,0,0,1,20230122,20230212
IDFM:TN:3749,1,0,0,0,0,0,1,20230122,20230212
IDFM:TN:3776,1,1,1,0,0,0,0,20230206,20230215
IDFM:TN:3801,0,0,0,1,0,0,0,20230216,20230216
IDFM:TN:3864,1,0,0,0,0,0,0,20230123,20230216
IDFM:TN:3943,0,1,1,1,1,0,0,20230131,20230210
IDFM:TN:4224,0,0,0,0,0,1,1,20230128,20230212
IDFM:TN:4458,0,0,0,0,0,1,1,20230128,20230212
IDFM:TN:4907,0,1,0,0,1,0,0,20230131,20230203
IDFM:TN:4959,0,0,0,0,0,0,1,20230128,20230205
IDFM:TN:5347,0,1,0,0,0,0,0,20230131,20230131
IDFM:TN:5389,1,1,1,1,1,0,0,20230123,20230216
IDFM:TN:5795,1,1,1,1,0,0,0,20230123,20230216
IDFM:TN:5865,1,1,1,1,0,0,0,20230123,20230216
IDFM:TN:5972,1,0,1,1,0,0,0,20230123,20230216
IDFM:TN:5976,1,1,1,1,1,0,1,20230202,20230216
IDFM:TN:5977,1,1,1,1,1,0,0,20230202,20230216
IDFM:TN:5979,0,0,0,1,1,0,0,20230202,20230203
IDFM:TN:5983,1,1,1,1,1,0,0,20230202,20230216
IDFM:TN:6214,1,0,0,0,0,0,1,20230122,20230213
IDFM:TN:6290,1,1,1,1,1,0,1,20230206,20230212
IDFM:TN:6419,0,0,0,1,0,0,0,20230126,20230209
IDFM:TN:6420,1,0,0,1,0,0,0,20230127,20230216
IDFM:TN:6498,0,0,0,0,0,0,1,20230122,20230212
IDFM:TN:8609,1,0,0,0,0,0,0,20230130,20230130
IDFM:TN:10024,0,0,1,0,0,0,0,20230118,20230118
IDFM:TN:10033,1,1,1,1,1,0,0,20230120,20230216
IDFM:TN:10062,0,0,0,0,0,0,1,20230122,20230205
IDFM:TN:10098,0,0,0,0,0,1,0,20230121,20230121
IDFM:TN:10146,0,0,0,0,0,0,1,20230205,20230205
IDFM:TN:10151,1,1,1,1,1,1,1,20230120,20230216
IDFM:TN:10155,1,0,0,0,0,0,1,20230122,20230213
