service_id,date,exception_type
IDFM:TN:173,20230122,1
IDFM:TN:173,20230129,1
IDFM:TN:173,20230123,1
IDFM:TN:173,20230130,1
IDFM:TN:1225,20230203,2
IDFM:TN:1225,20230202,2
IDFM:TN:1225,20230201,2
IDFM:TN:1225,20230131,2
IDFM:TN:1225,20230130,2
IDFM:TN:1225,20230210,2
IDFM:TN:1225,20230209,2
IDFM:TN:1225,20230208,2
IDFM:TN:1225,20230207,2
IDFM:TN:1225,20230206,2
IDFM:TN:1492,20230129,2
IDFM:TN:1834,20230205,1
IDFM:TN:2943,20230129,2
IDFM:TN:2943,20230130,2
IDFM:TN:3504,20230123,2
IDFM:TN:3505,20230130,1
IDFM:TN:3505,20230206,1
IDFM:TN:3776,20230210,1
IDFM:TN:3776,20230209,1
IDFM:TN:3864,20230210,1
IDFM:TN:3864,20230209,1
IDFM:TN:3864,20230208,1
IDFM:TN:3864,20230207,1
IDFM:TN:3864,20230216,1
IDFM:TN:3864,20230215,1
IDFM:TN:3864,20230214,1
IDFM:TN:3943,20230206,1
IDFM:TN:4458,20230204,2
IDFM:TN:4959,20230128,1
IDFM:TN:5389,20230201,2
IDFM:TN:5389,20230131,2
IDFM:TN:5389,20230130,2
IDFM:TN:5795,20230128,1
IDFM:TN:5795,20230127,1
IDFM:TN:5795,20230202,2
IDFM:TN:5795,20230201,2
IDFM:TN:5795,20230131,2
IDFM:TN:5795,20230130,2
IDFM:TN:5795,20230209,2
IDFM:TN:5795,20230208,2
IDFM:TN:5795,20230207,2
IDFM:TN:5795,20230206,2
IDFM:TN:5865,20230129,1
IDFM:TN:5865,20230128,1
IDFM:TN:5865,20230127,1
IDFM:TN:5865,20230202,2
IDFM:TN:5865,20230201,2
IDFM:TN:5865,20230131,2
IDFM:TN:5865,20230130,2
IDFM:TN:5865,20230209,2
IDFM:TN:5865,20230208,2
IDFM:TN:5865,20230207,2
IDFM:TN:5865,20230206,2
IDFM:TN:5972,20230127,1
IDFM:TN:5972,20230124,1
IDFM:TN:5972,20230202,2
IDFM:TN:5972,20230201,2
IDFM:TN:5972,20230130,2
IDFM:TN:5972,20230209,2
IDFM:TN:5972,20230208,2
IDFM:TN:5972,20230206,2
IDFM:TN:5976,20230211,1
IDFM:TN:5983,20230212,1
IDFM:TN:5983,20230211,1
IDFM:TN:6214,20230212,2
IDFM:TN:6419,20230202,2
IDFM:TN:6419,20230208,1
IDFM:TN:6419,20230207,1
IDFM:TN:6419,20230206,1
IDFM:TN:6420,20230127,1
IDFM:TN:6420,20230209,2
IDFM:TN:6420,20230206,2
IDFM:TN:6420,20230215,1
IDFM:TN:6420,20230214,1
IDFM:TN:6498,20230211,1
IDFM:TN:10062,20230129,2
IDFM:TN:10155,20230206,2
IDFM:TN:10187,20230205,2
IDFM:TN:10187,20230204,2
IDFM:TN:10192,20230204,2
IDFM:TN:10281,20230204,2
IDFM:TN:10281,20230212,1
IDFM:TN:10494,20230126,1
IDFM:TN:10494,20230125,1
